entity_id,stratum,period,hclass,has_role_b,pop_n,sample_n,weight
as1-b94ceda2be03d1a2#4,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-ee55b99376abee7b#43,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-09f6dfea6b1b4401#2,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-68661990e4316380#18,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-0853c05efea23885#12,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-e386edbdd8b1b778#0,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-e32de81a2cb2d96d#3,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-c8552383c315cd51#3,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-801d0c3492d88817#0,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-47577f45137e30c7#1,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-e873f9a444d74388#3,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-c49f3a7630383f21#1,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-5788d4683c832966#3,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-6c0e66065a280fc0#1,1948-1963|M|norole,1948-1963,M,norole,11211,25,448.44
as1-6ddbb5aedca527d8#4,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-687b17071e2604de#0,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-45645b96d3ce0aad#19,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-478a2536032bae2c#0,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-e37ba7ec5bf579c8#12,1948-1963|F|norole,1948-1963,F,norole,49313,25,1972.52
as1-d897782f4aaa57a3#0,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-20608f282c77279f#1,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-307907d221022bd5#4,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-37f90be2996035d4#0,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-f487e31b248ff00e#13,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-9231cc05c0dd34f5#7,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-664c2f88f557014d#1,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-5fa11bc09bb24a3b#2,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-7bc8d3c4db888617#15,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-e68888d7afe42d46#12,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-399282ee9cb336d2#1,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-effc21d238fb16c0#0,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
